year,housbur,hpindex,own,tenant,mpris,fpris,tpris,sv,sa,rob,homi,burg
2000,,78.72,,,,,,,,,,
2001,,90.59,,,,,,,,,,
2002,,94.62,,,,,,,,,,
2003,21.4,108.18,79.8,20.2,,,,,,,,
2004,23.3,120.26,81.8,18.2,,,,,,,,
2005,23.1,131.89,78.2,21.8,,,,,,,,
2006,24.2,151.5,78,22,,,,,,,,
2007,20.7,162.81,78.1,21.9,,,,,,,,
2008,24,151.51,77.3,22.7,198.13,6.52,101.48,26.91,19.49,52.22,1.14,566.69
2009,28.9,122.49,73.7,26.3,218.87,7.11,111.64,31.98,23.93,55.78,1.17,608.27
2010,34.1,105.96,73.3,26.7,211.31,7.93,107.95,46.88,36.59,71.08,1.21,573.58
2011,34.7,87.86,70.2,29.8,212.21,6.99,107.78,39.53,29.77,64.62,0.92,616.73
2012,40.2,76.04,69.6,30.4,212.93,6.98,107.83,40.04,30.06,61.33,1.13,620.57
2013,43.3,76.99,69.9,30.1,214.72,7,108.68,38.73,30.21,60.88,1.11,572.65
2014,40,89.72,68.4,31.6,184.7,6.88,93.83,40.19,29.84,57.14,1.15,596.81
2015,35.5,100,69.6,30.4,181.53,6.56,93.3,49.3,30.02,51.82,0.64,549.68
2016,32.2,107.46,69.5,30.5,171.43,5.2,87.95,53.85,32.44,41.36,0.72,382.58
2017,28.4,119.14,69.5,30.5,192.275,7.08,96.59,52.9,35.37,42.18,0.82,392.21
2018,26.7,131.33,70.3,29.7,213.12,8.96,102.13,58.09,36.77,45.11,0.81,344.09
2019,24,134.41,68.9,31.1,211.36,9.73,108.51,58.28,36.56,41.52,0.65,334.71
2020,27.8,134.82,69.6,30.4,198.52,8.03,101.3,52.45,31.6,28.24,0.64,213.01
2021,,145.98,69.8,30.2,196.09,7.51,99.91,59.38,37.55,23.41,0.46,167.45
2022,,163.96,70.5,29.5,224.11,10.35,113.13,62.75,40.97,27.83,0.87,181.46
2023,,168.99,69.4,30.6,,,,,,,,
