cntry,cntry_code,unemp_nat,unemp_ilo,gini,pop_grow,gni_grow,gnipc_grow,gdppc_grow,gdp_grow,gni_pc,healthex_gdp,healthex_exp,fdiin_gdp,tech_exp,service_emp,trade,rd_exp,rd_people,life,credit,stocks,top1,ls,eu,un_developed,union,murder
Australia,AUS,6.1,6.1,,1.5,3,1.5,0.9,2.4,53940.6,6.1,16.6,3.3,13.5131,77.901,41.5474,1.92818,,82.4,136.586,48.021,9.1,54.6115,Non-EU,developed,,1.11
Austria,AUT,5.7,5.7,30.5,1.1,0.2,-0.9,0,1.1,47557.1,7.8,15.1,-2.1,13.353,69.705,102.136,3.04771,5019.44,81.1902,85.8354,6.49926,,54.5459,EU,developed,27.4,0.508
Belgium,BEL,8.5,8.5,27.7,0.6,0.9,0.3,0.8,1.4,45068.7,8.6,16,-5.3,13.0229,77.389,160.229,2.46524,4711.05,80.9927,61.58,20.206,,60.2816,EU,developed,54.2,0.978
Brazil,BRA,11.6,8.4,51.3,0.9,-3.7,-4.5,-4.4,-3.5,11112.4,3.8,7.7,4.1,12.305,67.599,26.9536,1.27541,,75.284,66.8297,26.2285,23.6,,Non-EU,developing,25.2,
Bulgaria,BGR,9.1,9.1,37.4,-0.6,2.2,2.9,4.1,3.5,7455.5,4.2,10.3,5.2,7.64851,63.249,128.061,0.96019,1983.45,74.6146,55.4109,,,56.2241,EU,developed,17.5,1.08
Canada,CAN,6.9,6.9,,0.8,1.1,0.3,0.2,1,49551.1,7.7,19.1,4,13.8388,78.556,65.5277,1.65654,4552.49,82.129,,74.7087,13.6,56.4553,Non-EU,developed,29.4,
Chile,CHL,6.7,6.5,47.7,0.8,2.9,2,1.4,2.3,14502,4.9,19.6,8.6,6.11836,67.338,58.9528,0.38293,460.253,79.315,109.215,10.4116,23.7,,Non-EU,developing,16.1,
China,CHN,4.1,4.6,,0.5,6.4,5.8,6.4,6.9,6472.3,3.2,10.1,2.2,25.6482,53.351,39.4531,2.05643,1158.91,76.092,152.552,114.09,13.9,,Non-EU,developing,42.6,
Croatia,HRV,16.2,16.2,31.1,-0.8,3.8,4.7,3.2,2.4,14020.5,5.7,11.7,0.3,8.98048,64.06,93.905,0.85052,1503.06,77.2756,64.4321,0.849816,,55.2658,EU,developed,30.9,0.703
Cyprus,CYP,14.9,14.9,34,0.8,6.8,7.1,2.6,2,27918.2,2.9,7.1,41.2,6.1475,79.78,128.823,0.4807,1009.05,80.344,246.089,0.242289,,50.4289,EU,developed,45.2,0.953
Czech Republic,CZE,5,5.1,25.9,0.2,5.6,5.4,5.1,5.3,19927,6,14.3,0.9,14.9043,59.049,156.1,1.92923,3591.27,78.578,49.861,5.18578,9.2,46.4729,EU,developed,12,0.658
Denmark,DNK,6.2,6.2,28.2,0.7,1.3,0.6,0.9,1.6,61990.1,8.7,15.8,0.6,15.9629,78.214,104.059,2.95742,7457.77,80.7024,170.743,,6.4,55.4017,EU,developed,68.6,0.636
Estonia,EST,6.2,6.2,32.7,0.1,2.4,2.3,1.6,1.7,17366.8,4.9,12.2,-3.2,11.3923,65.436,153.21,1.48796,3183.25,77.5902,69.9244,,,52.4812,EU,developed,4.5,2.7
Finland,FIN,9.4,9.4,27.1,0.3,0,-0.3,-0.2,0.1,45505.3,7.3,12.8,7.2,8.72707,74.072,73.46,2.89668,6843.49,81.4805,95.251,,7.5,55.7344,EU,developed,66.5,1.4
France,FRA,10.4,10.4,32.7,0.4,1.2,0.7,0.6,1.1,42346.1,8.7,15.3,1.8,26.8472,76.879,61.7517,2.27136,4307.22,82.2732,95.09,40.973,11.1,57.9541,EU,developed,7.9,0.44
Germany,DEU,4.6,4.6,31.7,0.9,1.6,0.8,0.9,1.7,46256,9.4,21.4,1.6,16.6611,70.917,85.7558,2.91695,4748.41,80.6415,77.673,32.6187,13.2,56.2277,EU,developed,17.6,0.419
Greece,GRC,24.9,24.9,36,-0.7,-0.2,0.5,0.4,-0.3,22727.5,5,9.1,0.6,10.9868,72.163,63.3936,0.96637,3094.01,81.0366,112.823,13.9436,,49.3605,EU,developed,21.5,0.862
Hungary,HUN,6.8,6.8,30.4,-0.2,2.8,3.1,3.6,3.4,13877.5,4.8,9.7,-4.5,13.7085,64.771,171.566,1.36461,2587.51,75.5683,35.7732,5.07694,9.6,45.1451,EU,developed,9.4,0.672
Iceland,ISL,4,4,27.8,1,5.1,4,3.2,4.3,45608.3,7,16.4,6.8,19.9016,77.924,99.0431,2.19084,5887.91,82.4683,90.1941,,,58.118,Non-EU,developed,91.6,0.345
India,IND,,3.5,,1.2,8.2,6.9,6.9,8.2,1738.6,1,3.4,2.1,7.51776,31.742,41.9467,0.62364,216.182,68.302,51.8971,35.8341,21.3,,Non-EU,developing,12.8,
Indonesia,IDN,4.5,4.5,,1.2,4.9,3.7,3.6,4.9,3705,1.3,7.4,2.3,6.62896,44.918,41.9376,,,69.025,39.1188,10.1841,8.5,,Non-EU,developing,7,
Ireland,IRL,9.9,9.4,31.8,0.9,16.5,15.4,24.4,25.6,53154.5,5.4,18.4,81,26.7647,75.304,216.187,1.19563,5421.37,81.4537,53.2703,6.4215,11.5,35.5621,EU,developed,25.3,0.544
Israel,ISR,5.3,5.3,,2,2.9,0.8,1,3,32696.8,,,3.8,19.6632,81.243,59.5292,4.26895,,82.0512,66.6788,15.3366,,,Non-EU,developing,22.8,1.7
Italy,ITA,11.9,11.9,35.4,-0.1,0.4,0.5,1,1,33784,6.7,13.4,0.7,7.23986,69.648,56.9221,1.3411,2115.4,82.5439,87.4896,95.5351,9.4,52.8815,EU,developed,35.7,0.564
Japan,JPN,3.4,3.3,,-0.1,1.6,1.7,1.5,1.4,48939.3,9.1,22.6,0.1,16.7821,70.459,35.5964,3.28644,5173.44,83.7939,162.307,99.8824,10.4,56.3293,Non-EU,developed,17.4,0.208
"Korea, Rep.",KOR,3.6,3.6,,0.5,2.8,2.2,2.2,2.8,24939.2,4.2,12.9,0.3,26.8415,69.741,83.7121,4.21702,7045.3,82.0244,140.073,90.9565,12.1,60.259,Non-EU,developing,10.1,0.87
Latvia,LVA,9.9,9.9,34.2,-0.8,2.8,3.6,3.8,3,14203.7,3.3,8.9,3.1,15.1179,68.415,121.318,0.62538,1813.15,74.4805,48.8069,,,51.4183,EU,developed,12.6,4.26
Lithuania,LTU,9.1,9.1,37.4,-0.9,-0.9,0,3,2,14748.6,4.3,12.2,2.3,11.8528,65.858,152.153,1.04384,2785.54,74.322,41.4678,,,47.6554,EU,developed,7.9,3.66
Luxembourg,LUX,6.7,6.7,33.8,2.4,5.4,3,0.5,2.9,54179.3,5,12.1,19.6,6.823,86.432,410.172,1.27116,4480,82.2927,95.3804,0.166523,,51.8003,EU,developed,32.8,0.711
Malta,MLT,5.4,5.4,29.4,2.4,10.2,7.6,7,9.6,24319,5.8,14.2,27.9,30.1968,78.578,272.398,0.77084,1917.61,81.7976,89.5626,0.54793,,47.5634,EU,developed,52.9,0.606
Mexico,MEX,4.3,4.3,43.4,1.3,3.2,1.8,1.9,3.3,9480.5,3.1,11.3,3.1,14.6869,61.412,71.1663,0.53208,,76.933,31.9559,9.73976,,37.6232,Non-EU,developing,13,
Netherlands,NLD,6.9,6.9,28.2,0.4,1.9,1.5,1.8,2.3,51122.2,8.6,19,23.9,19.3236,81.249,156.297,2.0039,4673.08,81.5098,112.673,54.1335,6.3,57.6334,EU,developed,17.7,0.603
New Zealand,NZL,5.4,5.4,,1.9,3.9,2,2.5,4.4,35283.2,,,0,9.61708,71.897,54.3902,1.27744,4052.42,81.4568,152.655,4.30718,8.1,51.0083,Non-EU,developed,17.9,1.2
Norway,NOR,4.3,4.3,27.5,1,3.1,2,0.9,2,94381.7,8.5,17.5,1.7,20.5199,77.866,69.8097,1.93095,5890.96,82.3049,138.369,20.4932,7.8,50.7601,Non-EU,developed,52.5,0.389
Poland,POL,7.5,7.5,,-0.1,3.8,3.8,3.9,3.8,14137.3,4.4,10.7,3.2,8.7771,57.929,96.0095,1.00371,2158.46,77.4512,53.651,10.599,13.3,47.1361,EU,developed,12.7,0.588
Portugal,PRT,12.4,12.4,35.5,-0.4,0.7,1.1,2.2,1.8,21401.6,5.9,12.3,1.3,4.38064,68.121,80.223,1.24263,3711.87,81.1244,119.771,20.3827,9.8,51.6038,EU,developed,16.1,0.838
Romania,ROU,6.8,6.8,35.9,-0.5,2.6,3.1,4.4,3.9,9471.4,3.9,10.8,2.4,7.50169,45.955,82.6575,0.48788,878.369,75.0122,29.9022,0.810262,,44.6305,EU,developed,19.8,1.19
Russian Federation,RUS,5.6,5.6,37.7,0.2,-2.1,-2.2,-3,-2.8,11030,3.4,9.6,0.5,13.7603,66.109,49.1772,1.09893,3121.73,71.1683,56.4278,7.75028,20.2,,Non-EU,developing,27.8,
Slovak Republic,SVK,11.5,11.5,26.5,0.1,4,3.9,3.8,3.9,18384.3,5.5,12,1.7,10.2881,60.709,184.328,1.1753,2648.4,76.5634,53.3155,,,44.7256,EU,developed,10.9,0.732
Slovenia,SVN,9,9,25.4,0.1,0,-0.1,2.2,2.3,23187.9,6.1,12.7,4,6.42066,60.915,145.397,2.19655,3807.62,80.7756,49.9072,1.47448,,60.6321,EU,developed,19.6,0.912
South Africa,ZAF,25.2,25.2,63,1.4,1.5,0.1,-0.1,1.3,7386.9,4.4,14.1,0.5,6.16161,70.559,61.6001,0.79848,473.12,61.981,147.613,70.0717,19.2,,Non-EU,developing,,11
Spain,ESP,22.1,22.1,36.2,-0.1,3.6,3.6,3.5,3.4,30468.4,6.5,14.9,2.1,7.1461,75.973,63.6104,1.21963,2638.86,82.8317,118.995,72.0251,8.6,55.0752,EU,developed,13.9,0.557
Sweden,SWE,7.4,7.4,29.2,1.1,3.8,2.7,3.4,4.5,56239.5,9.2,18.4,1.7,14.2518,79.675,86.2408,3.26549,6835,82.2049,128.461,,8.7,49.1179,EU,developed,66.8,1.08
Switzerland,CHE,4.8,4.8,32.3,1.1,2.6,1.4,0.1,1.2,77866,8.5,25.2,17.1,26.8381,75.811,112.768,3.3743,5257.3,82.8976,170.418,103.508,11.3,65.394,Non-EU,developed,67,0.521
Turkey,TUR,10.2,10.2,42.9,1.6,5.8,4.1,4.4,6.1,13744.8,3.2,10.1,2.1,2.1597,52.368,49.2999,0.8815,1215.78,75.498,66.8274,39.5795,23.4,45.6321,Non-EU,developing,8,1.35
United Kingdom,GBR,5.3,5.3,33.2,0.8,2.3,1.5,1.5,2.3,40770.7,7.9,18.5,1.6,20.8122,80.207,56.4765,1.67445,4350.09,80.9561,132.788,77.9739,13.9,57.583,EU,developed,24.2,0.192
United States,USA,5.3,5.3,41.5,0.8,2.6,1.9,2.1,2.9,52353.4,8.5,22.6,2.8,18.9915,79.486,27.89,2.74043,4313.38,78.6902,188.204,223.649,12.6,56.935,Non-EU,developed,10.6,6.62
